observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Thu Jul 13 2017 17:43:05 GMT+0300 (GMT+3),2017-07-13,2017-07-13 14:43:05 UTC,Baghdad,"Voi, KE-TT, KE",-3.7398350881,38.9902128243,,,,,31418,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2010/05/03 11:14 AM CEST,2010-05-03,2010-05-03 09:14:00 UTC,Paris,"Kajiado South, KE-KJ, KE",-2.6076065838,37.3931426816,6167,,,,31434,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2010/05/06 4:23 PM CEST,2010-05-06,2010-05-06 14:23:00 UTC,Paris,"Laikipia, KE",0.0143769649,36.8812007643,1120,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
Thu Jul 13 2017 19:07:48 GMT+0300 (GMT+3),2017-07-13,2017-07-13 16:07:48 UTC,Baghdad,"Narok, KE",-1.4169447038,35.0061342553,24449,,,,31446,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013/01/04 4:27 PM EST,2013-01-04,2013-01-04 21:27:00 UTC,Eastern Time (US & Canada),"Narok, KE",-1.5263961753,34.8730134653,212,,,,31446,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/08/20 4:18 PM EAT,2017-08-20,2017-08-20 13:18:00 UTC,Nairobi,"Kajiado South, KE-KJ, KE",-2.6558603336,37.3848285657,,,,,31434,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2014/10/24 10:35 PM BST,2014-10-24,2014-10-24 21:35:00 UTC,London,"Narok, KE",-1.3526720245,34.9149668011,870,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/08/29 4:20 PM PDT,2017-08-29,2017-08-29 23:20:00 UTC,Pacific Time (US & Canada),"Kajiado South, KE-KJ, KE",-2.6438873172,37.2417570938,2584,,,,31434,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/08/31 5:32 PM PDT,2017-08-31,2017-09-01 00:32:00 UTC,Pacific Time (US & Canada),"Laikipia, KE",-0.1933371165,36.8385664789,1287,,,,31451,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/01 4:23 PM PDT,2017-09-01,2017-09-01 23:23:00 UTC,Pacific Time (US & Canada),"Laikipia, KE",-0.1139242947,36.8769362905,1064,,,,31451,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2007/01/03 5:58 PM CET,2007-01-03,2007-01-03 16:58:00 UTC,Paris,"Voi, KE-TT, KE",-2.8357492132,38.3416127231,7813,,,,31431,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015/12/26 11:18 AM CET,2015-12-26,2015-12-26 10:18:00 UTC,Paris,Kenya,-4.3282710392,39.5752313296,4455,,,,31407,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/04 1:54 PM PDT,2017-09-04,2017-09-04 20:54:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.456434155,35.0848611614,577,,,,31446,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/04 5:16 PM PDT,2017-09-04,2017-09-05 00:16:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.5609490766,35.1117803444,1174,,,,31446,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/04 10:08 PM PDT,2017-09-04,2017-09-05 05:08:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.4916169961,35.0974692086,1124,,,,31446,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015/12/22 5:08 PM CET,2015-12-22,2015-12-22 16:08:00 UTC,Paris,"Tsavo East, Voi, KE-TT, KE",-3.3032652349,38.7386286097,6347,,,,31425,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015/12/23 6:32 AM CET,2015-12-23,2015-12-23 05:32:00 UTC,Paris,"Tsavo East, Voi, KE-TT, KE",-3.3126636214,38.6446650821,4639,,,,31425,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015/12/23 8:06 AM CET,2015-12-23,2015-12-23 07:06:00 UTC,Paris,"Voi, KE-TT, KE",-3.5651346256,38.9012387789,5707,,,,31422,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015/12/23 8:10 AM CET,2015-12-23,2015-12-23 07:10:00 UTC,Paris,"Voi, KE-TT, KE",-3.5917557471,38.9147936368,5707,,,,31422,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/05 7:51 AM PDT,2017-09-05,2017-09-05 14:51:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.3948856068,35.0854418063,747,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/05 7:52 AM PDT,2017-09-05,2017-09-05 14:52:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.3641476139,35.0813530143,924,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
